Date,Citibank,Morgan Stanley,Goldman Sachs,J.P. Morgan
2020-01-06,79.449997,51.020000,233.949997,138.229996
2020-01-07,78.760002,50.919998,235.490005,135.880005
2020-01-08,79.360001,51.570000,237.759995,136.940002
2020-01-09,80.080002,52.060001,242.600006,137.440002
2020-01-10,79.250000,52.209999,242.110001,136.070007
2020-01-13,80.650002,52.779999,245.210007,137.199997
2020-01-14,81.910004,52.860001,245.660004,138.800003
2020-01-15,81.239998,52.939999,245.210007,136.720001
2020-01-16,81.000000,56.439999,249.720001,137.250000
2020-01-17,81.120003,57.509998,249.460007,138.199997
2020-01-21,79.900002,55.919998,245.699997,136.839996
2020-01-22,80.099998,55.860001,247.050003,136.679993
2020-01-23,79.800003,55.529999,245.580002,136.539993
2020-01-24,78.419998,54.549999,241.919998,133.149994
2020-01-27,76.709999,53.110001,238.139999,132.029999
2020-01-28,77.239998,54.020000,242.580002,134.429993
2020-01-29,76.480003,53.680000,240.119995,134.229996
2020-01-30,77.430000,53.820000,244.130005,135.889999
2020-01-31,74.410004,52.259998,237.750000,132.360001
2020-02-03,75.129997,52.599998,239.009995,133.369995
2020-02-04,76.500000,54.020000,241.940002,135.289993
2020-02-05,78.849998,54.990002,244.300003,137.589996
2020-02-06,78.970001,55.009998,241.820007,137.610001
2020-02-07,78.690002,55.029999,238.000000,137.169998
2020-02-10,78.480003,55.349998,237.360001,137.740005
2020-02-11,79.089996,55.779999,236.460007,138.000000
2020-02-12,79.330002,56.180000,238.649994,138.000000
2020-02-13,79.000000,55.930000,238.350006,137.880005
2020-02-14,78.790001,55.840000,237.080002,137.460007
2020-02-18,77.580002,55.520000,233.210007,135.639999
2020-02-19,78.050003,56.310001,237.330002,137.490005
2020-02-20,78.220001,53.750000,232.729996,137.490005
2020-02-21,76.440002,52.419998,230.619995,135.809998
2020-02-24,72.529999,49.680000,224.539993,132.160004
2020-02-25,69.430000,48.029999,217.610001,126.260002
2020-02-26,68.180000,47.240002,215.779999,126.639999
2020-02-27,64.449997,45.410000,205.690002,121.370003
2020-02-28,63.459999,45.029999,200.770004,116.110001
2020-03-02,67.589996,46.480000,209.470001,121.519997
2020-03-03,65.050003,44.400002,203.429993,116.959999
2020-03-04,67.389999,45.240002,208.740005,119.849998
2020-03-05,63.490002,42.590000,198.789993,113.970001
2020-03-06,61.279999,41.840000,192.850006,108.080002
2020-03-09,51.369999,37.500000,172.809998,93.440002
2020-03-10,55.580002,39.500000,184.350006,100.699997
2020-03-11,50.790001,36.869999,171.889999,95.959999
2020-03-12,43.259998,31.309999,150.679993,88.050003
2020-03-13,51.040001,37.500000,177.169998,103.910004
2020-03-16,41.189999,31.650000,154.660004,88.360001
2020-03-17,40.250000,33.790001,158.669998,93.760002
2020-03-18,36.430000,30.750000,140.020004,83.889999
2020-03-19,39.639999,30.920000,149.490005,85.300003
2020-03-20,38.060001,29.670000,138.410004,83.500000
2020-03-23,35.389999,27.809999,134.970001,79.029999
2020-03-24,40.660000,33.220001,153.600006,88.430000
2020-03-25,41.860001,33.990002,155.130005,91.730003
2020-03-26,46.020000,35.709999,165.789993,98.120003
2020-03-27,43.799999,34.009998,158.339996,91.129997
2020-03-30,44.080002,34.840000,159.619995,93.500000
2020-03-31,42.119999,34.000000,154.589996,90.029999
2020-04-01,38.509998,31.620001,145.289993,84.360001
2020-04-02,39.230000,33.900002,149.929993,87.510002
2020-04-03,37.490002,33.849998,146.929993,84.050003
2020-04-06,41.119999,37.009998,158.229996,89.459999
2020-04-07,41.250000,36.939999,166.020004,90.639999
2020-04-08,44.259998,39.369999,176.960007,94.300003
2020-04-09,47.410000,41.080002,184.259995,102.760002
